planner,scenario,query_id,run,seed,success,planning_time_s,solve_time_s,error,num_waypoints,joint_path_length,cartesian_path_length,smoothness_geom,smoothness_jerk,clearance,path_valid
straightline,empty,0,2,42,True,0.0001,0.0001,,30,6.5463218617353425,3.3479699934096314,4.7932954494695395e-14,1.184734756969354e-23,inf,True
straightline,empty,10,0,42,True,0.0001,0.0001,,30,5.39172858514605,1.533563818325479,2.8263949854987025e-13,8.436483223713982e-24,inf,True
straightline,empty,10,1,42,True,0.0001,0.0001,,30,5.39172858514605,1.533563818325479,2.8263949854987025e-13,8.436483223713982e-24,inf,True
straightline,empty,10,2,42,True,0.0001,0.0001,,30,5.39172858514605,1.533563818325479,2.8263949854987025e-13,8.436483223713982e-24,inf,True
straightline,empty,11,0,42,True,0.0001,0.0001,,30,4.465703187550338,0.717701236089849,9.363894499398536e-14,8.494677530815072e-24,inf,True
straightline,empty,11,1,42,True,0.0001,0.0001,,30,4.465703187550338,0.717701236089849,9.363894499398536e-14,8.494677530815072e-24,inf,True
straightline,empty,11,2,42,True,0.0001,0.0001,,30,4.465703187550338,0.717701236089849,9.363894499398536e-14,8.494677530815072e-24,inf,True
straightline,empty,12,0,42,True,0.0001,0.0001,,30,2.9768585238846903,1.084180858160367,6.111078005821011e-13,3.843124291813092e-24,inf,True
straightline,empty,12,1,42,True,0.0001,0.0001,,30,2.9768585238846903,1.084180858160367,6.111078005821011e-13,3.843124291813092e-24,inf,True
straightline,empty,12,2,42,True,0.0001,0.0001,,30,2.9768585238846903,1.084180858160367,6.111078005821011e-13,3.843124291813092e-24,inf,True
straightline,empty,13,0,42,True,0.0001,0.0001,,30,5.228331628360102,2.0284409412015054,2.0494211924517732e-13,7.138307262225537e-24,inf,True
straightline,empty,13,1,42,True,0.0001,0.0001,,30,5.228331628360102,2.0284409412015054,2.0494211924517732e-13,7.138307262225537e-24,inf,True
straightline,empty,13,2,42,True,0.0001,0.0001,,30,5.228331628360102,2.0284409412015054,2.0494211924517732e-13,7.138307262225537e-24,inf,True
straightline,empty,14,0,42,True,0.0001,0.0001,,30,4.949062423831927,2.204935074420963,2.8971698364987464e-13,5.885525149338101e-24,inf,True
straightline,empty,14,1,42,True,0.0001,0.0001,,30,4.949062423831927,2.204935074420963,2.8971698364987464e-13,5.885525149338101e-24,inf,True
straightline,empty,14,2,42,True,0.0001,0.0001,,30,4.949062423831927,2.204935074420963,2.8971698364987464e-13,5.885525149338101e-24,inf,True
straightline,empty,15,0,42,True,0.0001,0.0001,,30,4.179630575884645,0.7638197118115965,4.382725626249259e-13,9.0958587289975e-24,inf,True
straightline,empty,15,1,42,True,0.0001,0.0001,,30,4.179630575884645,0.7638197118115965,4.382725626249259e-13,9.0958587289975e-24,inf,True
